Filename,CurrentPath,SizeBytes,SizeMB,DuplicateStatus,DuplicateOf
TAJIN2.jpg,images2/TAJIN2.jpg,24300260,23.17,no duplicate found,
people-dominga-hug.jpg,images/people-dominga-hug.jpg,16286997,15.53,exact duplicate (byte-identical),images2/HUGDOMINGA.jpg
HUGDOMINGA.jpg,images2/HUGDOMINGA.jpg,16286997,15.53,exact duplicate (byte-identical),images/people-dominga-hug.jpg
HUG3.jpg,images2/HUG3.jpg,16218958,15.47,no duplicate found,
people-raul-normal.jpg,images/people-raul-normal.jpg,15924953,15.19,exact duplicate (byte-identical),images2/RAULNORMAL.jpg
RAULNORMAL.jpg,images2/RAULNORMAL.jpg,15924953,15.19,exact duplicate (byte-identical),images/people-raul-normal.jpg
PLATBATH3.jpg,images2/PLATBATH3.jpg,15739386,15.01,no duplicate found,
people-raul-5.jpg,images/people-raul-5.jpg,15192471,14.49,exact duplicate (byte-identical),images2/RAUL5.jpg
RAUL5.jpg,images2/RAUL5.jpg,15192471,14.49,exact duplicate (byte-identical),images/people-raul-5.jpg
HUGRAUL2.jpg,images2/HUGRAUL2.jpg,14702951,14.02,no duplicate found,
logo-dreamglade.png,images/logo-dreamglade.png,7804486,7.44,no duplicate found,
VIEWLAKE2.jpg,images2/VIEWLAKE2.jpg,7707349,7.35,no duplicate found,
tambo5-lakeview.jpg,images/tambo5-lakeview.jpg,7681871,7.33,exact duplicate (byte-identical),images2/TAMBO 5 LAKE VIEW.jpg
TAMBO 5 LAKE VIEW.jpg,images2/TAMBO 5 LAKE VIEW.jpg,7681871,7.33,exact duplicate (byte-identical),images/tambo5-lakeview.jpg
bobinsana-2.jpg,images/bobinsana-2.jpg,7369051,7.03,exact duplicate (byte-identical),images2/BOBINSANA-2.jpg
BOBINSANA-2.jpg,images2/BOBINSANA-2.jpg,7369051,7.03,exact duplicate (byte-identical),images/bobinsana-2.jpg
placeholder-tambo-single.jpg,images/placeholder-tambo-single.jpg,7242610,6.91,exact duplicate (byte-identical),images2/TAMBO 1-LEFT SIDE.jpg
TAMBO 1-LEFT SIDE.jpg,images2/TAMBO 1-LEFT SIDE.jpg,7242610,6.91,exact duplicate (byte-identical),images/placeholder-tambo-single.jpg
planta-de-vida.jpg,images/planta-de-vida.jpg,7112193,6.78,exact duplicate (byte-identical),images2/PLANTA DE VIDA.jpg
PLANTA DE VIDA.jpg,images2/PLANTA DE VIDA.jpg,7112193,6.78,exact duplicate (byte-identical),images/planta-de-vida.jpg
placeholder-tambo-shared.jpg,images/placeholder-tambo-shared.jpg,6594343,6.29,exact duplicate (byte-identical),images/sharetambo-front.jpg;images2/SHARETAMBO-FRONT-MAPACHO.jpg
sharetambo-front.jpg,images/sharetambo-front.jpg,6594343,6.29,exact duplicate (byte-identical),images/placeholder-tambo-shared.jpg;images2/SHARETAMBO-FRONT-MAPACHO.jpg
